Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2024-06-03,171.98383,173.33451,169.9876,171.35814,27459100,0.66542,0.00388,172.8961,168.42536,149.46016
2024-06-04,172.59958,172.65918,170.7126,172.09308,26879600,0.61575,0.00358,172.93015,169.00503,149.79535
2024-06-05,174.20847,175.43996,172.73859,173.9999,22068500,1.60889,0.00932,172.98973,169.57278,150.15032
2024-06-06,175.51942,175.93655,174.54614,174.69511,23251000,1.31096,0.00753,173.03655,170.15542,150.51579
2024-06-07,173.26497,176.6516,173.10606,175.83722,19661400,-2.25446,-0.01284,172.83225,170.76654,150.8677
2024-06-10,174.0107,176.04899,171.77354,173.97093,23726700,0.74573,0.0043,173.27219,170.87449,151.22036
2024-06-11,175.61148,175.83023,172.77776,175.21377,21540600,1.60078,0.0092,173.88549,171.22781,151.55987
2024-06-12,176.7748,179.37985,175.1044,177.23218,27864700,1.16331,0.00662,174.56992,171.73147,151.90205
2024-06-13,174.15985,175.73083,173.88145,175.10442,20913300,-2.61494,-0.01479,174.79281,172.11221,152.20844
2024-06-14,175.78052,176.04898,173.15559,173.2252,18063600,1.62067,0.00931,175.01739,172.45561,152.51113
2024-06-17,176.22795,177.34155,173.81182,174.45812,19618500,0.44743,0.00255,175.11861,172.79339,152.80869
2024-06-18,174.09023,176.3771,173.10589,176.12852,21869900,-2.13773,-0.01213,175.2365,173.03145,153.08819
2024-06-20,175.29333,176.27767,173.99082,174.36864,20160100,1.20311,0.00691,175.41974,173.20533,153.38723
2024-06-21,178.60431,179.81734,175.60155,175.98932,57759000,3.31097,0.01889,175.84728,173.55148,153.71502
2024-06-24,178.19664,179.8571,177.64978,179.13127,18298000,-0.40767,-0.00228,176.0504,173.86484,154.04388
2024-06-25,182.97917,183.23768,178.39549,178.59435,23130200,4.78253,0.02684,177.31031,174.38099,154.42518
2024-06-26,182.83003,183.45642,181.43802,181.58717,19839000,-0.14914,-0.00082,178.31738,174.87594,154.79902
2024-06-27,184.35132,184.98766,182.96926,183.12833,18848900,1.52129,0.00832,179.47786,175.38188,155.20649
2024-06-28,181.10991,184.0729,180.92101,183.26753,29156600,-3.24141,-0.01758,180.48067,175.70793,155.5924
2024-07-01,181.94513,182.83005,180.26478,181.98489,16006100,0.83522,0.00461,181.43093,176.00654,155.95953
2024-07-02,184.18227,184.51038,180.52327,181.01048,17372500,2.23714,0.0123,182.22778,176.31748,156.32785
2024-07-03,184.75897,185.02742,182.94936,183.79451,10242100,0.57671,0.00313,183.16526,176.61918,156.68996
2024-07-05,189.51167,189.77018,184.73908,184.79873,20967500,4.7527,0.02572,184.09847,177.04851,157.09334
2024-07-08,187.95064,189.08413,186.70778,188.81567,21035900,-1.56104,-0.00824,184.82999,177.47447,157.47898
2024-07-09,187.90094,190.26736,187.64243,189.22335,15121400,-0.0497,-0.00026,185.33708,177.99246,157.86554
2024-07-10,190.08835,190.6551,187.95063,188.06994,15952500,2.18741,0.01164,186.61971,178.53569,158.27877
2024-07-11,184.51042,189.77021,184.02321,188.76598,25625800,-5.57793,-0.02934,186.98618,178.84632,158.62888
2024-07-12,184.01324,186.04159,183.43655,184.02318,22898400,-0.49718,-0.00269,186.96203,179.15692,158.95085
2024-07-15,185.46492,187.16516,183.86411,183.86411,16474000,1.45168,0.00789,187.06288,179.64138,159.28814
2024-07-16,182.8698,187.60261,182.32293,186.29016,18290700,-2.59512,-0.01399,186.11404,180.02643,159.59511
2024-07-17,179.98637,182.50193,178.87276,181.92524,20734100,-2.88342,-0.01577,184.97629,180.29318,159.86432
2024-07-18,176.6754,181.45793,175.46236,180.89118,25315700,-3.31097,-0.0184,183.37264,180.42904,160.0797
2024-07-19,176.64557,179.26054,176.1186,177.8586,18881900,-0.02983,-0.00017,181.45225,180.51028,160.29219
2024-07-22,180.63264,181.65676,179.20086,179.55881,24100300,3.98708,0.02257,180.89828,180.68072,160.52697
2024-07-23,180.75197,182.56158,180.5034,181.01049,36352700,0.11932,0.00066,180.43238,180.93028,160.77972
2024-07-24,171.64429,175.18396,170.83891,172.60875,49585200,-9.10768,-0.05039,178.45801,180.8514,161.05058
2024-07-25,166.32483,172.42977,166.23535,171.53491,44852000,-5.31946,-0.03099,176.09444,180.54185,161.26835
2024-07-26,166.04642,167.13019,163.1232,166.19555,41336900,-0.27841,-0.00167,174.10302,180.18424,161.47369
2024-07-29,168.56198,169.45684,167.03078,167.86598,20293800,2.51556,0.01515,172.94396,179.99764,161.68925
2024-07-30,169.31764,170.25228,167.47821,169.26794,18959700,0.75566,0.00448,171.89711,179.78221,161.90762
2024-07-31,170.56052,173.25505,169.03925,172.25082,25729100,1.24287,0.00734,170.45823,179.5933,162.12443
2024-08-01,169.78496,173.05618,167.9157,169.27788,24531400,-0.77556,-0.00455,168.89152,179.44979,162.33172
2024-08-02,165.70837,167.5478,163.72973,165.48963,29130100,-4.07658,-0.02401,168.04353,179.13029,162.47946
2024-08-05,158.34068,163.4911,154.04534,154.6121,53630700,-7.36769,-0.04446,166.90294,178.45484,162.57797
2024-08-06,157.38615,159.65315,155.5169,158.42022,49004600,-0.95453,-0.00603,165.66576,177.76115,162.6883
2024-08-07,158.03244,162.04936,157.56512,160.32925,25138600,0.64629,0.00411,164.16154,176.92959,162.79741
2024-08-08,161.10481,162.75534,159.29521,159.59349,25578800,3.07237,0.01944,162.98828,176.20542,162.95835
2024-08-09,162.73544,162.85475,158.15177,159.09634,28602300,1.63063,0.01012,161.87041,175.48489,163.1515
2024-08-12,161.3633,163.95839,160.91587,163.41155,15895300,-1.37215,-0.00843,160.66731,174.82667,163.32824
2024-08-13,163.22263,163.78936,162.03942,162.47691,18551700,1.85933,0.01152,160.31221,174.20259,163.50865
2024-08-14,159.45428,162.28802,156.80948,161.47269,40591100,-3.76834,-0.02309,160.47129,173.37832,163.64491
2024-08-15,160.37897,160.71702,158.69861,159.58353,31524300,0.92468,0.0058,160.89884,172.56566,163.78996
2024-08-16,162.02948,164.11748,160.20993,160.54798,24208600,1.65051,0.01029,161.46984,171.64958,164.00164
2024-08-19,165.71831,165.7382,163.32207,164.33625,22416200,3.68883,0.02277,162.12891,170.9085,164.23322
2024-08-20,166.2254,167.67707,165.86747,165.947,18341500,0.5071,0.00306,162.62748,170.18599,164.48972
2024-08-21,164.903,165.89729,163.72973,164.20698,22902000,-1.3224,-0.00796,163.13315,169.34647,164.71798
2024-08-22,162.86469,166.63304,162.37748,166.30492,22493300,-2.03831,-0.01236,163.08202,168.62495,164.94018
2024-08-23,164.6743,165.2311,162.89453,163.77945,13955700,1.80962,0.01111,163.82773,167.98032,165.20883
